source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
What is it?,Cái gì vậy?,Cái gì đó?,35.35533905932737,0.7499999999999999,0.6666666666666666,0.7499999999999999,0.6388888888888888,"{'rouge1': Score(precision=0.6, recall=1.0, fmeasure=0.7499999999999999), 'rouge2': Score(precision=0.5, recall=1.0, fmeasure=0.6666666666666666), 'rougeL': Score(precision=0.6, recall=1.0, fmeasure=0.7499999999999999)}"
I thought we would go to the children's home.,Tôi nghĩ chúng ta nên đến nhà trẻ em.,Con nghĩ chúng ta nên đến mái ấm.,41.11336169005198,0.6956521739130435,0.5714285714285713,0.6086956521739131,0.647130647130647,"{'rouge1': Score(precision=0.6666666666666666, recall=0.7272727272727273, fmeasure=0.6956521739130435), 'rouge2': Score(precision=0.5454545454545454, recall=0.6, fmeasure=0.5714285714285713), 'rougeL': Score(precision=0.5833333333333334, recall=0.6363636363636364, fmeasure=0.6086956521739131)}"
Is there something you want to tell your husband?,Có điều gì cô muốn nói với chồng cô không?,Có điều gì cô muốn nói với chồng mình không?,74.19446627365011,0.9090909090909091,0.8387096774193549,0.9090909090909091,0.88,"{'rouge1': Score(precision=0.9375, recall=0.8823529411764706, fmeasure=0.9090909090909091), 'rouge2': Score(precision=0.8666666666666667, recall=0.8125, fmeasure=0.8387096774193549), 'rougeL': Score(precision=0.9375, recall=0.8823529411764706, fmeasure=0.9090909090909091)}"
"Your master wants to hunt us, burn us, eat our hearts.","Chủ nhân của các ngươi muốn săn chúng ta, thiêu đốt chúng ta, ăn trái tim của chúng ta.","Thầy của ngươi muốn săn chúng ta, thiêu chúng ta, ăn tim chúng ta.",44.74935415497116,0.7777777777777777,0.6153846153846153,0.7777777777777777,0.9003348214285714,"{'rouge1': Score(precision=0.6774193548387096, recall=0.9130434782608695, fmeasure=0.7777777777777777), 'rouge2': Score(precision=0.5333333333333333, recall=0.7272727272727273, fmeasure=0.6153846153846153), 'rougeL': Score(precision=0.6774193548387096, recall=0.9130434782608695, fmeasure=0.7777777777777777)}"
Or too weak to see this through?,Hay quá yếu để nhìn xuyên qua chuyện này?,Haylàkẻ yếuđuối?,4.196114906296549,0.21052631578947367,0.11764705882352941,0.21052631578947367,0.13513513513513514,"{'rouge1': Score(precision=0.15384615384615385, recall=0.3333333333333333, fmeasure=0.21052631578947367), 'rouge2': Score(precision=0.08333333333333333, recall=0.2, fmeasure=0.11764705882352941), 'rougeL': Score(precision=0.15384615384615385, recall=0.3333333333333333, fmeasure=0.21052631578947367)}"
OK.,Được rồi.,OK.,27.516060407455225,0.0,0.0,0.0,0.2380952380952381,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
The rest are kept in a secure glass viewing boot at the top of the tower.,Phần còn lại được giữ trong một cái thùng kính an toàn ở trên đỉnh tháp.,Chỗ còn lại được để trong một lồng kính ngắm cảnh trên đỉnh toà nhà.,13.32358437599213,0.6808510638297872,0.4444444444444445,0.5957446808510639,0.5110804386166705,"{'rouge1': Score(precision=0.64, recall=0.7272727272727273, fmeasure=0.6808510638297872), 'rouge2': Score(precision=0.4166666666666667, recall=0.47619047619047616, fmeasure=0.4444444444444445), 'rougeL': Score(precision=0.56, recall=0.6363636363636364, fmeasure=0.5957446808510639)}"
"No, I haven't.","Không, chưa từng.","Không, tôi không có.",19.357693493908812,0.6153846153846153,0.1818181818181818,0.6153846153846153,0.25423728813559315,"{'rouge1': Score(precision=0.6666666666666666, recall=0.5714285714285714, fmeasure=0.6153846153846153), 'rouge2': Score(precision=0.2, recall=0.16666666666666666, fmeasure=0.1818181818181818), 'rougeL': Score(precision=0.6666666666666666, recall=0.5714285714285714, fmeasure=0.6153846153846153)}"
Don't touch me.,Đừng chạm vào tôi.,Đừng có chạm vào người tôi!,17.03057835676086,0.8235294117647058,0.5333333333333333,0.8235294117647058,0.4641544117647058,"{'rouge1': Score(precision=1.0, recall=0.7, fmeasure=0.8235294117647058), 'rouge2': Score(precision=0.6666666666666666, recall=0.4444444444444444, fmeasure=0.5333333333333333), 'rougeL': Score(precision=1.0, recall=0.7, fmeasure=0.8235294117647058)}"
Come in.,Mời vào.,Xin mời.,27.516060407455225,0.5714285714285715,0.4,0.5714285714285715,0.3333333333333333,"{'rouge1': Score(precision=0.5, recall=0.6666666666666666, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rougeL': Score(precision=0.5, recall=0.6666666666666666, fmeasure=0.5714285714285715)}"
"We're talking Falkor in ""The Neverending Story.""","Chúng ta đang nói đến ""Sự bất hạnh"" trong phim ""The Never Beday"".",Bự không tưởng được luôn.,2.1476912089159055,0.31999999999999995,0.0,0.15999999999999998,0.06944444444444446,"{'rouge1': Score(precision=0.23529411764705882, recall=0.5, fmeasure=0.31999999999999995), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11764705882352941, recall=0.25, fmeasure=0.15999999999999998)}"
- He's an engineer.,- Anh ta là một kỹ sư.,Anh ta là một kỹ sư.,84.08964152537145,1.0,1.0,1.0,0.9844782983615982,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
"Face to face, Toe to toe","♪ Đối mặt đối mặt, khắc để ngón chân ♪","♫ Mặt nhìn mặt, Chân chạm chân. ♫",8.29519350710986,0.5833333333333334,0.36363636363636365,0.5833333333333334,0.31250000000000006,"{'rouge1': Score(precision=0.5833333333333334, recall=0.5833333333333334, fmeasure=0.5833333333333334), 'rouge2': Score(precision=0.36363636363636365, recall=0.36363636363636365, fmeasure=0.36363636363636365), 'rougeL': Score(precision=0.5833333333333334, recall=0.5833333333333334, fmeasure=0.5833333333333334)}"
"Basically, we have a phone number that we need to get an address from, and I remember that you used to run your own detective agency or something?","Cơ bản là chúng ta có số điện thoại mà chúng ta cần để có địa chỉ từ, và tôi nhớ là anh từng điều hành tổ chức thám tử riêng của mình hay gì đó?","Chúng tôi có số điện thoại, chúng tôi cần 1 địa chỉ Tôi nhớ là anh có 1 văn phòng thám tử của mình đúng không?",12.666372160329221,0.7640449438202247,0.43678160919540227,0.6067415730337078,0.6322844827586207,"{'rouge1': Score(precision=0.6938775510204082, recall=0.85, fmeasure=0.7640449438202247), 'rouge2': Score(precision=0.3958333333333333, recall=0.48717948717948717, fmeasure=0.43678160919540227), 'rougeL': Score(precision=0.5510204081632653, recall=0.675, fmeasure=0.6067415730337078)}"
Your job is finished.,Công việc của anh đã hoàn thành.,- Nhiệm vụ đã hoàn thành rồi. - Không. Nhiệm vụ của anh đã hoàn thành.,17.202572313558196,0.5,0.4,0.5,0.33441961514587215,"{'rouge1': Score(precision=0.7272727272727273, recall=0.38095238095238093, fmeasure=0.5), 'rouge2': Score(precision=0.6, recall=0.3, fmeasure=0.4), 'rougeL': Score(precision=0.7272727272727273, recall=0.38095238095238093, fmeasure=0.5)}"
"Smart, Nikki.","Thông minh, khỏe mạnh.","Thông minh đấy, Nikki.",19.304869754804482,0.5,0.4,0.5,0.5260416666666666,"{'rouge1': Score(precision=0.42857142857142855, recall=0.6, fmeasure=0.5), 'rouge2': Score(precision=0.3333333333333333, recall=0.5, fmeasure=0.4), 'rougeL': Score(precision=0.42857142857142855, recall=0.6, fmeasure=0.5)}"
