source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
 danh từ|- (vt của parachutist) lính nhảy dù,The name is Veritas- (vt of parachutist) parachutist.,chutist,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 danh từ|- (thông tục) (viết tắt) của them,Their name is D.N.A.,em,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 giới từ|- (thơ ca) (như) against,KSnapshot- (Sings) (like) Tellst,gainst,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(vt của will),"(Will's ""vt"")",ll,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
interj|- ((viết tắt) của attention) nghiêm!,"Classified, serious!",shun,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
xem tec,tc view,tec,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(vt của it is),(vt of it is),tis,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(vt của it was),(Vet of it was),twas,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 giới từ|- (vt của between),From KSnapshot- (Jet of between),tween,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(vt của it were),(vt of it was),twere,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
(viết tắt) của it will,It's going to work.,twill,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
 giới từ|- (vt của betwixt),the y- (vt of betwixt),twixt,0.0,0.0,0.0,0.0,0.0,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}"
