source,translation,reference,bleu,rouge1_f,rouge2_f,rougeL_f,meteor,rouge_details
I heard that since Tom isn't feeling well he won't come to school today,Tôi nghe nói kể từ khi Tom không cảm thấy khỏe anh sẽ không đến trường hôm nay,tôi nghe nói rằng vì tom không khỏe nên hôm nay anh ấy sẽ không đến trường,19.672746885239153,0.7924528301886792,0.5490196078431373,0.6415094339622641,0.722862382781411,"{'rouge1': Score(precision=0.7777777777777778, recall=0.8076923076923077, fmeasure=0.7924528301886792), 'rouge2': Score(precision=0.5384615384615384, recall=0.56, fmeasure=0.5490196078431373), 'rougeL': Score(precision=0.6296296296296297, recall=0.6538461538461539, fmeasure=0.6415094339622641)}"
The pharmacy is on Fresno Street,♪ The hàng đang ở trên đường ♪,hiệu thuốc nằm trên đường fresno,11.044795567078939,0.3529411764705882,0.26666666666666666,0.3529411764705882,0.30241935483870974,"{'rouge1': Score(precision=0.42857142857142855, recall=0.3, fmeasure=0.3529411764705882), 'rouge2': Score(precision=0.3333333333333333, recall=0.2222222222222222, fmeasure=0.26666666666666666), 'rougeL': Score(precision=0.42857142857142855, recall=0.3, fmeasure=0.3529411764705882)}"
I'm not living with him anymore.,Tôi không còn sống với anh ta nữa.,Tôi không còn sống với anh ấy nữa.,66.06328636027612,0.9285714285714286,0.8461538461538461,0.9285714285714286,0.8819444444444444,"{'rouge1': Score(precision=0.9285714285714286, recall=0.9285714285714286, fmeasure=0.9285714285714286), 'rouge2': Score(precision=0.8461538461538461, recall=0.8461538461538461, fmeasure=0.8461538461538461), 'rougeL': Score(precision=0.9285714285714286, recall=0.9285714285714286, fmeasure=0.9285714285714286)}"
I'll see what else we need to bring,Để xem chúng ta còn cần gì nữa,tôi sẽ xem những gì chúng ta cần mang theo,10.816059393812111,0.56,0.34782608695652173,0.4799999999999999,0.3795918367346939,"{'rouge1': Score(precision=0.6363636363636364, recall=0.5, fmeasure=0.56), 'rouge2': Score(precision=0.4, recall=0.3076923076923077, fmeasure=0.34782608695652173), 'rougeL': Score(precision=0.5454545454545454, recall=0.42857142857142855, fmeasure=0.4799999999999999)}"
Tom ran a hundred meters in twelve seconds.,Tom một trăm mét trong mười hai giây.,tom chạy một trăm mét trong mười hai giây.,77.25505949016376,0.9285714285714286,0.8461538461538461,0.9285714285714286,0.9041027559546079,"{'rouge1': Score(precision=1.0, recall=0.8666666666666667, fmeasure=0.9285714285714286), 'rouge2': Score(precision=0.9166666666666666, recall=0.7857142857142857, fmeasure=0.8461538461538461), 'rougeL': Score(precision=1.0, recall=0.8666666666666667, fmeasure=0.9285714285714286)}"
"Japan launched a new invasion of China in July, 1937",Nhật Bản đã mở ra một cuộc tấn công mới của Trung Quốc vào tháng 7 năm 1937,Nhật Bản đã phát động một cuộc xâm lược mới của Trung Quốc vào tháng 7 năm 1937,56.32579400090416,0.9152542372881356,0.736842105263158,0.8135593220338982,0.7739512471655329,"{'rouge1': Score(precision=0.9310344827586207, recall=0.9, fmeasure=0.9152542372881356), 'rouge2': Score(precision=0.75, recall=0.7241379310344828, fmeasure=0.736842105263158), 'rougeL': Score(precision=0.8275862068965517, recall=0.8, fmeasure=0.8135593220338982)}"
This ticket is good for two weeks.,Cái vé này tốt cho hai tuần.,vé này là tốt trong hai tuần.,27.05411345269698,0.761904761904762,0.5263157894736842,0.761904761904762,0.703125,"{'rouge1': Score(precision=0.7272727272727273, recall=0.8, fmeasure=0.761904761904762), 'rouge2': Score(precision=0.5, recall=0.5555555555555556, fmeasure=0.5263157894736842), 'rougeL': Score(precision=0.7272727272727273, recall=0.8, fmeasure=0.761904761904762)}"
Tom wants to die.,Tom muốn chết.,Tom muốn chết.,100.00000000000004,1.0,1.0,1.0,0.9921875,"{'rouge1': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rouge2': Score(precision=1.0, recall=1.0, fmeasure=1.0), 'rougeL': Score(precision=1.0, recall=1.0, fmeasure=1.0)}"
I don't handle loneliness well.,Tôi không lo lắng về sự chăm sóc tốt.,Tôi không xử lý sự cô đơn tốt.,12.549310621989482,0.6923076923076923,0.41666666666666663,0.6923076923076923,0.49010989010989015,"{'rouge1': Score(precision=0.6, recall=0.8181818181818182, fmeasure=0.6923076923076923), 'rouge2': Score(precision=0.35714285714285715, recall=0.5, fmeasure=0.41666666666666663), 'rougeL': Score(precision=0.6, recall=0.8181818181818182, fmeasure=0.6923076923076923)}"
You can't see Mt. Fuji from here.,Bạn không thể nhìn thấy núi Phú Sĩ từ đây.,bạn không thể nhìn thấy mt. fuji từ đây.,33.932513407933634,0.7857142857142856,0.6923076923076924,0.7857142857142856,0.7215909090909091,"{'rouge1': Score(precision=0.7333333333333333, recall=0.8461538461538461, fmeasure=0.7857142857142856), 'rouge2': Score(precision=0.6428571428571429, recall=0.75, fmeasure=0.6923076923076924), 'rougeL': Score(precision=0.7333333333333333, recall=0.8461538461538461, fmeasure=0.7857142857142856)}"
